"","line","yield","location","set"
"408","MN11139",181.3552,"rse","2017_2016"
"409","MN11211",207.6671,"rse","2017_2016"
"410","MNBT1020-1",204.6415,"rse","2017_2016"
"411","MNBT1021-1",170.6614,"rse","2017_2016"
"412","MNBT1021-2",151.5515,"rse","2017_2016"
"413","NATTY",181.7122,"rse","2017_2016"
"414","NEWBURG",159.2862,"rse","2017_2016"
"415","REINS",176.364,"rse","2017_2016"
"416","ROCKFORD",171.4451,"rse","2017_2016"
"417","RON",169.5554,"rse","2017_2016"
"418","SABER",176.2804,"rse","2017_2016"
"419","SHELBY_427",165.406,"rse","2017_2016"
"420","SOURIS",177.977,"rse","2017_2016"
"421","STREAKER",120.6076,"rse","2017_2016"
"422","mean",175.5166,"rse","2017_2016"
"423","lsd0.1",27.35494,"rse","2017_2016"
"424","BADGER",148.7338,"ste","2017_2016"
"425","BETAGENE",152.1387,"ste","2017_2016"
"426","COLT",119.9353,"ste","2017_2016"
"427","CS_CAMDEN",138.2511,"ste","2017_2016"
"428","DEON",173.0047,"ste","2017_2016"
"429","ESKER",151.8306,"ste","2017_2016"
"430","GOLIATH",164.8297,"ste","2017_2016"
"431","HAYDEN",161.7055,"ste","2017_2016"
"432","HORSEPOWER",148.3639,"ste","2017_2016"
"433","JURY",156.0108,"ste","2017_2016"
"434","MN11139",152.0221,"ste","2017_2016"
"435","MN11211",162.9036,"ste","2017_2016"
"436","MNBT1020-1",149.2082,"ste","2017_2016"
"437","MNBT1021-1",162.3868,"ste","2017_2016"
"438","MNBT1021-2",149.7565,"ste","2017_2016"
"439","NATTY",147.9774,"ste","2017_2016"
"440","NEWBURG",158.9656,"ste","2017_2016"
"441","REINS",125.0732,"ste","2017_2016"
"442","ROCKFORD",148.469,"ste","2017_2016"
"443","RON",160.8543,"ste","2017_2016"
"444","SABER",147.4978,"ste","2017_2016"
"445","SHELBY_427",130.5502,"ste","2017_2016"
"446","SOURIS",152.5703,"ste","2017_2016"
"447","STREAKER",112.3321,"ste","2017_2016"
"448","mean",148.9738,"ste","2017_2016"
"449","lsd0.1",11.68464,"ste","2017_2016"
"450","BADGER",114.5523,"was","2017_2016"
